dataset_id	status	primary_values	primary_sample_bytes	primary_sample_rows	median_primary_sample_value_count	median_primary_sample_size_bytes	auxiliary_values	auxiliary_sample_bytes	auxiliary_sample_rows	has_index	inferred_auxiliary_series	failure_reasons
fsdd_spoken_digits	ok	10498424	20996848	3000	3358.5	6717	0	0	0	1	none	none
noaa_ndbc_wave_spectral_density_f64	ok	11719309	93754472	24	427159.5	3417276	0	0	0	1	none	none
binance_usdm_futures_1m_klines_2024_q1	ok	11793600	89107200	270	44640	357120	2620800	20966400	60	1	none	none
har_smartphone_uci	ok	11864448	94915584	18	659136	5273088	0	0	0	1	none	none
crossref_works_large_retry	ok	11996320	59981600	8	1499540	5998160	0	0	0	1	none	none
noaa_isd_lite	ok	12103704	20912475	502	26015	51830	0	0	0	1	none	none
nhtsa_fars_2022_crash_tables_f64	ok	12662622	101300976	190	60765	486120	0	0	0	1	none	none
skadi_srtm_hgt	ok	12967201	25934402	1	12967201	25934402	0	0	0	1	none	none
usda_fia_ca_tree_measurements_f32	ok	13318757	53275028	43	348210	1392840	0	0	0	1	none	none
maestro_midi_notes	ok	14042884	14042884	2500	4542	4542	0	0	0	1	none	none
binance_spot_1m_klines_2024_q1	ok	14152320	106928640	324	44640	357120	3144960	25159680	72	1	none	none
household_power_uci	ok	14344960	71724800	7	2049280	16394240	0	0	0	1	none	none
noaa_nexrad_level3_nids_radials_u8	ok	15897600	15897600	96	165600	165600	0	0	0	1	none	none
msd_hippocampus_segmentation_labels_u8	ok	16221128	16221128	258	62829	62829	0	0	0	1	none	none
ncbi_taxdump	ok	18084993	57095412	5	2840433	11361732	0	0	0	1	none	none
google_open_buildings_v3_s2_073_geometry_f32	ok	21297542	85190168	4	2173642.5	8694570	0	0	0	1	none	none
dc_lidar_2015_classification_u8	ok	21697532	21697532	3	7454412	7454412	0	0	0	1	none	none
sec_fsd_2015q1_2024q4_numeric_values_i64	ok	22524021	180192168	787	16419	131352	0	0	0	1	none	none
covid19_google_mobility_f64	ok	24556604	196452832	6	4032314	32258512	0	0	0	1	none	none
chbmit_physionet	ok	24883200	49766400	66	368960	737920	0	0	0	1	none	none
snap_roadnet_edges_i32	ok	24920660	99682640	6	3843320	15373280	0	0	0	1	none	none
binance_spot_aggtrades_btc_eth_2024_w01	ok	26957784	215662272	28	821957	6575656	67394460	444803436	70	1	none	none
covertype_uci	ok	28469588	34279708	49	581012	581012	0	0	0	1	none	none
binance_usdm_futures_aggtrades_btc_eth_2024_w01	ok	30405852	243246816	28	882679	7061432	76014630	501696558	70	1	none	none
wikimedia_clickstream_enwiki	ok	35605767	142423068	1	35605767	142423068	0	0	0	1	none	none
pglib_opf_matpower_cases_numeric	ok	39285570	314284560	639	14406	115248	0	0	0	1	none	none
hsl_gtfs_static_schedule_numeric	ok	44453630	226392932	8	5809272	25274372	0	0	0	1	none	none
encode_methylation_pct_u8	ok	44773596	44773596	24	1804995	1804995	0	0	0	1	none	none
yearpredictionmsd_uci	ok	46896395	186554890	91	515345	2061380	0	0	0	1	none	none
nasa_pds_sharad_radargram_f32	ok	47106000	188424000	10	4658400	18633600	0	0	0	1	none	none
binance_usdm_futures_bookticker_2024_w01	ok	48000000	384000000	24	2000000	16000000	0	0	0	1	none	none
electricity_load_diagrams_uci	ok	51894720	207578880	370	140256	561024	0	0	0	1	none	none
google_localized_narratives_ade20k_traces_f32	ok	53595026	214380104	5	17851358	71405432	0	0	0	1	none	none
esa_worldcover_landcover_tiles_u8	ok	54525952	54525952	52	1048576	1048576	0	0	0	1	none	none
noaa_ndbc_stdmet_historical	ok	56949977	455599816	273	224130	1793040	0	0	0	1	none	none
mitbih_arrhythmia_u8	ok	59150000	59150000	91	650000	650000	0	0	0	1	none	none
sentinel2_l2a_scene_classification_u8	ok	60280200	60280200	2	30140100	30140100	0	0	0	1	none	none
mitbih_arrhythmia_physionet	ok	62400000	124800000	96	650000	1300000	0	0	0	1	none	none
geonames_allcountries	ok	67174535	322437768	5	13434907	53739628	0	0	0	1	none	none
bbbc039_microscopy_tiff_u16	ok	72384000	144768000	200	361920	723840	0	0	0	1	none	none
noaa_marinecadastre_ais_2024_01_01_f32	ok	74224797	296899188	11	7293096	29172384	0	0	0	1	none	none
ena_fastq_quality_phred	ok	75000000	75000000	150	500000	500000	0	0	0	1	none	none
susy_uci	ok	95000000	365000000	19	5000000	20000000	0	0	0	1	none	none
openimages_v6_train_bbox_annotations_f32	ok	98970872	308556248	17	5821816	23287264	0	0	0	1	none	none
geonames_alternatenames	ok	113882214	246744797	6	18980369	28470553.5	0	0	0	1	none	none
tum_rgbd_depth_u16	ok	122880000	245760000	400	307200	614400	0	0	0	1	none	none
smollm2_135m_q8_gguf_weights	ok	134479872	134479872	211	331776	331776	0	0	0	1	none	none
hf_smolllm2_135m_safetensors_f16	ok	134515008	269030016	272	331776	663552	0	0	0	1	none	none
